PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Kendall Marshall,PG,0.08,8.5,9,6' 3.25'',6' 4.25'',8' 0'',198.4,6' 5.5'',2012
Fab Melo,C,0.09,9,10,6' 10.75'',7' 0'',9' 2'',255,7' 2.5'',2012
Khris Middleton,SF,0.08,9,9,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75'',2012
Darius Miller,SF-SG,0.08,8.5,8.75,6' 6'',6' 7.5'',8' 5'',233.4,6' 9'',2012
Quincy Miller,SF,0.08,9.25,10.25,6' 8.75'',6' 10'',8' 9'',218.7,7' 1.25'',2012
Tony Mitchell,SG,0.06,8.5,10,6' 5.25'',6' 6.25'',8' 4'',216.4,6' 10'',2012
Arnett Moultrie,PF,0.08,9.25,9.25,6' 9.5'',6' 10.75'',8' 10.5'',232.8,7' 2.25'',2012
Kevin Murphy,SG,0.06,8.5,8.5,6' 5'',6' 6.25'',8' 3'',194,6' 6.75'',2012
Andrew Nicholson,PF,0.08,10,10.75,6' 8.5'',6' 9.5'',8' 11'',234,7' 4'',2012
Kyle O'Quinn,PF,0.08,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75'',2012
Miles Plumlee,PF-C,0.11,9.25,9,6' 10.5'',6' 11.75'',8' 9.5'',252.4,7' 0.75'',2012
Austin Rivers,SG-PG,0.06,8.5,10,6' 3.5'',6' 5'',8' 0.5'',202.8,6' 7.25'',2012
Thomas Robinson,PF,0.05,9.75,10.5,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25'',2012
Terrence Ross,SG-SF,0.03,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25'',2012
Tomas Satoransky,PG-SG,0.05,8.5,9.5,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25'',2012
Mike Scott,PF,0.11,8.5,9,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75'',2012
Henry Sims,C-PF,0.08,9.25,10,6' 10'',6' 11.75'',9' 0'',241.2,7' 4'',2012
